OXIDANTES,,,,
A-1,2.3.5 TRIFENILTETRASOLIO CLORADO,3,4,20
G-2,XILENO,3,1,16

CORROSIVOS,,,,
C-4,CLORATO DE POTACIO,4,2,1.5
B-1,AZUL DE BROMOTIMOL,4,4,165
C-4,CROMATO DE POTACIO,4,4,0
D-2,DICROMATO DE POTACIO,4,2,2
C-3,DICROMATO DE SODIO DIHIDRATADO,4,2,1
C-2,CROMATO DE SODIO,4,2,2
D-2,DICROMATO DE POTASIO 99.9%,4,2,2
C-3,DICROMATO DE SODIO DIHIDRATADO,4,2,1
B-3,NITRATO DE AMONIO,4,2,3
D-2,PENTACLORURO DE ANTIMONIO,4,3,200
D-2,PERIODATO DE POTACIO,4,3,150
D-2,PERMANGANATO DE POTASIO ,4,2,1.5
ESTANTE MET,PEROXIDO DE HIDROGENO 3%,4,1,10
ESTANTE MET,PEROXIDO DE HIDROGENO 33%,4,1,7.4
ESTANTE MET,PEROXIDO DE HIDROGENO 20 %,4,1,2
C-2,PERSULFATO DE POTACIO,4,2,1.5
B-2,SULFATO DE AMONIO Y CERIO 2 AGUAS,4,4,600
